student_id,course_code,term,likelihood,path_type
S160,ECI 40,2026FA,0.95,Undeclared
S161,ECI 40,2026FA,0.95,Undeclared
S162,ECI 40,2026FA,0.95,Undeclared
S163,ECI 40,2026FA,0.95,Undeclared
S164,ECI 40,2026FA,0.95,Undeclared
S165,ECI 40,2026FA,0.95,Undeclared
S166,ECI 40,2026FA,0.95,Undeclared
S167,ECI 40,2026FA,0.95,Undeclared
S168,ECI 40,2026FA,0.95,Undeclared
S169,ECI 40,2026FA,0.95,Undeclared
S170,ECI 40,2026FA,0.95,Undeclared
S171,ECI 40,2026FA,0.95,Undeclared
S172,ECI 40,2026FA,0.95,Undeclared
S173,ECI 40,2026FA,0.95,Undeclared
S174,ECI 40,2026FA,0.95,Undeclared
S175,ECI 40,2026FA,0.95,Undeclared
S176,ECI 40,2026FA,0.95,Undeclared
S177,ECI 40,2026FA,0.95,Undeclared
S178,ECI 40,2026FA,0.95,Undeclared
S179,ECI 40,2026FA,0.95,Undeclared
S180,ECI 40,2026FA,0.95,Undeclared
S181,ECI 40,2026FA,0.95,Undeclared
S182,ECI 40,2026FA,0.95,Undeclared
S183,ECI 40,2026FA,0.95,Undeclared
S184,ECI 40,2026FA,0.95,Undeclared
S185,ECI 40,2026FA,0.95,Undeclared
S186,ECI 40,2026FA,0.95,Undeclared
S187,ECI 40,2026FA,0.95,Undeclared
S188,ECI 40,2026FA,0.95,Undeclared
S189,ECI 40,2026FA,0.95,Undeclared
S190,ECI 40,2026FA,0.95,Undeclared
S191,ECI 100,2026FA,0.95,Undeclared
S192,ECI 100,2026FA,0.95,Undeclared
S193,ECI 100,2026FA,0.95,Undeclared
S194,ECI 100,2026FA,0.95,Undeclared
S195,ECI 100,2026FA,0.95,Undeclared
S196,ECI 100,2026FA,0.95,Undeclared
S197,ECI 100,2026FA,0.95,Undeclared
S198,ECI 100,2026FA,0.95,Undeclared
S199,ECI 100,2026FA,0.95,Undeclared
S200,ECI 100,2026FA,0.95,Undeclared
S201,ECI 100,2026FA,0.95,Undeclared
S202,ECI 100,2026FA,0.95,Undeclared
S203,ECI 100,2026FA,0.95,Undeclared
S204,ECI 100,2026FA,0.95,Undeclared
S205,ECI 100,2026FA,0.95,Undeclared
S206,ECI 100,2026FA,0.95,Undeclared
S207,ECI 100,2026FA,0.95,Undeclared
S208,ECI 100,2026FA,0.95,Undeclared
S209,ECI 100,2026FA,0.95,Undeclared
S210,ECI 100,2026FA,0.95,Undeclared
S211,ECI 100,2026FA,0.95,Undeclared
S212,ECI 100,2026FA,0.95,Undeclared
S213,ECI 100,2026FA,0.95,Undeclared
S214,ECI 100,2026FA,0.95,Undeclared
S215,ECI 100,2026FA,0.95,Undeclared
S216,ECI 100,2026FA,0.95,Undeclared
S217,ECI 100,2026FA,0.95,Undeclared
S218,ECI 100,2026FA,0.95,Undeclared
S219,ECI 100,2026FA,0.95,Undeclared
S220,ECI 100,2026FA,0.95,Undeclared
S221,ECI 100,2026FA,0.95,Undeclared
S222,ECI 100,2026FA,0.95,Undeclared
S223,ECI 100,2026FA,0.95,Undeclared
S224,ECI 100,2026FA,0.95,Undeclared
S225,ECI 100,2026FA,0.95,Undeclared
S226,ECI 100,2026FA,0.95,Undeclared
S227,ECI 100,2026FA,0.95,Undeclared
S228,ECI 100,2026FA,0.95,Undeclared
S229,ECI 100,2026FA,0.95,Undeclared
S230,ECI 100,2026FA,0.95,Undeclared
S231,ECI 100,2026FA,0.95,Undeclared
S232,ECI 100,2026FA,0.95,Undeclared
S233,ECI 100,2026FA,0.95,Undeclared
S234,ECI 100,2026FA,0.95,Undeclared
S235,ECI 100,2026FA,0.95,Undeclared
S236,ECI 100,2026FA,0.95,Undeclared
S237,ECI 100,2026FA,0.95,Undeclared
S238,ECI 100,2026FA,0.95,Undeclared
S239,ECI 100,2026FA,0.95,Undeclared
S240,ECI 100,2026FA,0.95,Undeclared
S241,ECI 100,2026FA,0.95,Undeclared
S242,ECI 100,2026FA,0.95,Undeclared
S243,ECI 100,2026FA,0.95,Undeclared
S244,ECI 100,2026FA,0.95,Undeclared
S245,ECI 100,2026FA,0.95,Undeclared
S246,ECI 100,2026FA,0.95,Undeclared
S247,ECI 100,2026FA,0.95,Undeclared
S248,ECI 100,2026FA,0.95,Undeclared
S249,ECI 100,2026FA,0.95,Undeclared
S250,ECI 100,2026FA,0.95,Undeclared
S251,ECI 100,2026FA,0.95,Undeclared
S252,ECI 100,2026FA,0.95,Undeclared
S253,ECI 100,2026FA,0.95,Undeclared
S254,ECI 100,2026FA,0.95,Undeclared
S255,ECI 100,2026FA,0.95,Undeclared
S256,ECI 100,2026FA,0.95,Undeclared
S257,ECI 100,2026FA,0.95,Undeclared
S258,ECI 100,2026FA,0.95,Undeclared
S259,ECI 100,2026FA,0.95,Undeclared
S260,ECI 100,2026FA,0.95,Undeclared
S261,ECI 100,2026FA,0.95,Undeclared
S262,ECI 100,2026FA,0.95,Undeclared
S263,ECI 100,2026FA,0.95,Undeclared
S264,ECI 100,2026FA,0.95,Undeclared
S265,ECI 100,2026FA,0.95,Undeclared
S266,ECI 100,2026FA,0.95,Undeclared
S267,ECI 100,2026FA,0.95,Undeclared
S268,ECI 100,2026FA,0.95,Undeclared
S269,ECI 100,2026FA,0.95,Undeclared
S270,ECI 100,2026FA,0.95,Undeclared
S271,ECI 100,2026FA,0.95,Undeclared
S272,ECI 100,2026FA,0.95,Undeclared
S273,ECI 100,2026FA,0.95,Undeclared
S274,ECI 100,2026FA,0.95,Undeclared
S275,ECI 100,2026FA,0.95,Undeclared
S276,ECI 100,2026FA,0.95,Undeclared
S277,ECI 100,2026FA,0.95,Undeclared
S278,ECI 100,2026FA,0.95,Undeclared
S279,ECI 100,2026FA,0.95,Undeclared
S280,ECI 100,2026FA,0.95,Undeclared
S281,ECI 100,2026FA,0.95,Undeclared
S282,ECI 100,2026FA,0.95,Undeclared
S283,ECI 100,2026FA,0.95,Undeclared
S284,ECI 100,2026FA,0.95,Undeclared
S285,ECI 100,2026FA,0.95,Undeclared
S286,ECI 100,2026FA,0.95,Undeclared
S287,ECI 100,2026FA,0.95,Undeclared
S288,ECI 100,2026FA,0.95,Undeclared
S289,ECI 100,2026FA,0.95,Undeclared
S290,ECI 100,2026FA,0.95,Undeclared
S291,ECI 100,2026FA,0.95,Undeclared
S292,ECI 100,2026FA,0.95,Undeclared
S293,ECI 100,2026FA,0.95,Undeclared
S294,ECI 100,2026FA,0.95,Undeclared
S295,ECI 100,2026FA,0.95,Undeclared
S296,ECI 100,2026FA,0.95,Undeclared
S297,ECI 100,2026FA,0.95,Undeclared
S298,ECI 100,2026FA,0.95,Undeclared
S299,ECI 100,2026FA,0.95,Undeclared
S300,ECI 100,2026FA,0.95,Undeclared
S191,ENG 104,2026FA,0.9,Undeclared
S192,ENG 104,2026FA,0.9,Undeclared
S193,ENG 104,2026FA,0.9,Undeclared
S194,ENG 104,2026FA,0.9,Undeclared
S195,ENG 104,2026FA,0.9,Undeclared
S196,ENG 104,2026FA,0.9,Undeclared
S197,ENG 104,2026FA,0.9,Undeclared
S198,ENG 104,2026FA,0.9,Undeclared
S199,ENG 104,2026FA,0.9,Undeclared
S200,ENG 104,2026FA,0.9,Undeclared
S201,ENG 104,2026FA,0.9,Undeclared
S202,ENG 104,2026FA,0.9,Undeclared
S203,ENG 104,2026FA,0.9,Undeclared
S204,ENG 104,2026FA,0.9,Undeclared
S205,ENG 104,2026FA,0.9,Undeclared
S206,ENG 104,2026FA,0.9,Undeclared
S207,ENG 104,2026FA,0.9,Undeclared
S208,ENG 104,2026FA,0.9,Undeclared
S209,ENG 104,2026FA,0.9,Undeclared
S210,ENG 104,2026FA,0.9,Undeclared
S211,ENG 104,2026FA,0.9,Undeclared
S212,ENG 104,2026FA,0.9,Undeclared
S213,ENG 104,2026FA,0.9,Undeclared
S214,ENG 104,2026FA,0.9,Undeclared
S215,ENG 104,2026FA,0.9,Undeclared
S216,ENG 104,2026FA,0.9,Undeclared
S217,ENG 104,2026FA,0.9,Undeclared
S218,ENG 104,2026FA,0.9,Undeclared
S219,ENG 104,2026FA,0.9,Undeclared
S220,ENG 104,2026FA,0.9,Undeclared
S221,ENG 104,2026FA,0.9,Undeclared
S222,ENG 104,2026FA,0.9,Undeclared
S223,ENG 104,2026FA,0.9,Undeclared
S224,ENG 104,2026FA,0.9,Undeclared
S225,ENG 104,2026FA,0.9,Undeclared
S226,ENG 104,2026FA,0.9,Undeclared
S227,ENG 104,2026FA,0.9,Undeclared
S228,ENG 104,2026FA,0.9,Undeclared
S229,ENG 104,2026FA,0.9,Undeclared
S230,ENG 104,2026FA,0.9,Undeclared
S231,ENG 104,2026FA,0.9,Undeclared
S232,ENG 104,2026FA,0.9,Undeclared
S233,ENG 104,2026FA,0.9,Undeclared
S234,ENG 104,2026FA,0.9,Undeclared
S235,ENG 104,2026FA,0.9,Undeclared
S236,ENG 104,2026FA,0.9,Undeclared
S237,ENG 104,2026FA,0.9,Undeclared
S238,ENG 104,2026FA,0.9,Undeclared
S239,ENG 104,2026FA,0.9,Undeclared
S240,ENG 104,2026FA,0.9,Undeclared
S241,ENG 104,2026FA,0.9,Undeclared
S242,ENG 104,2026FA,0.9,Undeclared
S243,ENG 104,2026FA,0.9,Undeclared
S244,ENG 104,2026FA,0.9,Undeclared
S245,ENG 104,2026FA,0.9,Undeclared
S246,ENG 104,2026FA,0.9,Undeclared
S247,ENG 104,2026FA,0.9,Undeclared
S248,ENG 104,2026FA,0.9,Undeclared
S249,ENG 104,2026FA,0.9,Undeclared
S250,ENG 104,2026FA,0.9,Undeclared
S251,ENG 104,2026FA,0.9,Undeclared
S252,ENG 104,2026FA,0.9,Undeclared
S253,ENG 104,2026FA,0.9,Undeclared
S254,ENG 104,2026FA,0.9,Undeclared
S255,ENG 104,2026FA,0.9,Undeclared
S256,ENG 104,2026FA,0.9,Undeclared
S257,ENG 104,2026FA,0.9,Undeclared
S258,ENG 104,2026FA,0.9,Undeclared
S259,ENG 104,2026FA,0.9,Undeclared
S260,ENG 104,2026FA,0.9,Undeclared
S261,ENG 104,2026FA,0.9,Undeclared
S262,ENG 104,2026FA,0.9,Undeclared
S263,ENG 104,2026FA,0.9,Undeclared
S264,ENG 104,2026FA,0.9,Undeclared
S265,ENG 104,2026FA,0.9,Undeclared
S266,ENG 104,2026FA,0.9,Undeclared
S267,ENG 104,2026FA,0.9,Undeclared
S268,ENG 104,2026FA,0.9,Undeclared
S269,ENG 104,2026FA,0.9,Undeclared
S270,ENG 104,2026FA,0.9,Undeclared
S271,ENG 104,2026FA,0.9,Undeclared
S272,ENG 104,2026FA,0.9,Undeclared
S273,ENG 104,2026FA,0.9,Undeclared
S274,ENG 104,2026FA,0.9,Undeclared
S275,ENG 104,2026FA,0.9,Undeclared
S276,ENG 104,2026FA,0.9,Undeclared
S277,ENG 104,2026FA,0.9,Undeclared
S278,ENG 104,2026FA,0.9,Undeclared
S279,ENG 104,2026FA,0.9,Undeclared
S280,ENG 104,2026FA,0.9,Undeclared
S281,ENG 104,2026FA,0.9,Undeclared
S282,ENG 104,2026FA,0.9,Undeclared
S283,ENG 104,2026FA,0.9,Undeclared
S284,ENG 104,2026FA,0.9,Undeclared
S285,ENG 104,2026FA,0.9,Undeclared
S286,ENG 104,2026FA,0.9,Undeclared
S287,ENG 104,2026FA,0.9,Undeclared
S288,ENG 104,2026FA,0.9,Undeclared
S289,ENG 104,2026FA,0.9,Undeclared
S290,ENG 104,2026FA,0.9,Undeclared
S291,ENG 104,2026FA,0.9,Undeclared
S292,ENG 104,2026FA,0.9,Undeclared
S293,ENG 104,2026FA,0.9,Undeclared
S294,ENG 104,2026FA,0.9,Undeclared
S295,ENG 104,2026FA,0.9,Undeclared
S296,ENG 104,2026FA,0.9,Undeclared
S297,ENG 104,2026FA,0.9,Undeclared
S298,ENG 104,2026FA,0.9,Undeclared
S299,ENG 104,2026FA,0.9,Undeclared
S300,ENG 104,2026FA,0.9,Undeclared
S191,ECI 130,2026FA,0.9,Undeclared
S192,ECI 130,2026FA,0.9,Undeclared
S193,ECI 130,2026FA,0.9,Undeclared
S194,ECI 130,2026FA,0.9,Undeclared
S195,ECI 130,2026FA,0.9,Undeclared
S196,ECI 130,2026FA,0.9,Undeclared
S197,ECI 130,2026FA,0.9,Undeclared
S198,ECI 130,2026FA,0.9,Undeclared
S199,ECI 130,2026FA,0.9,Undeclared
S200,ECI 130,2026FA,0.9,Undeclared
S201,ECI 130,2026FA,0.9,Undeclared
S202,ECI 130,2026FA,0.9,Undeclared
S203,ECI 130,2026FA,0.9,Undeclared
S204,ECI 130,2026FA,0.9,Undeclared
S205,ECI 130,2026FA,0.9,Undeclared
S206,ECI 130,2026FA,0.9,Undeclared
S207,ECI 130,2026FA,0.9,Undeclared
S208,ECI 130,2026FA,0.9,Undeclared
S209,ECI 130,2026FA,0.9,Undeclared
S210,ECI 130,2026FA,0.9,Undeclared
S211,ECI 130,2026FA,0.9,Undeclared
S212,ECI 130,2026FA,0.9,Undeclared
S213,ECI 130,2026FA,0.9,Undeclared
S214,ECI 130,2026FA,0.9,Undeclared
S215,ECI 130,2026FA,0.9,Undeclared
S216,ECI 130,2026FA,0.9,Undeclared
S217,ECI 130,2026FA,0.9,Undeclared
S218,ECI 130,2026FA,0.9,Undeclared
S219,ECI 130,2026FA,0.9,Undeclared
S220,ECI 130,2026FA,0.9,Undeclared
S221,ECI 130,2026FA,0.9,Undeclared
S222,ECI 130,2026FA,0.9,Undeclared
S223,ECI 130,2026FA,0.9,Undeclared
S224,ECI 130,2026FA,0.9,Undeclared
S225,ECI 130,2026FA,0.9,Undeclared
S226,ECI 130,2026FA,0.9,Undeclared
S227,ECI 130,2026FA,0.9,Undeclared
S228,ECI 130,2026FA,0.9,Undeclared
S229,ECI 130,2026FA,0.9,Undeclared
S230,ECI 130,2026FA,0.9,Undeclared
S231,ECI 130,2026FA,0.9,Undeclared
S232,ECI 130,2026FA,0.9,Undeclared
S233,ECI 130,2026FA,0.9,Undeclared
S234,ECI 130,2026FA,0.9,Undeclared
S235,ECI 130,2026FA,0.9,Undeclared
S236,ECI 130,2026FA,0.9,Undeclared
S237,ECI 130,2026FA,0.9,Undeclared
S238,ECI 130,2026FA,0.9,Undeclared
S239,ECI 130,2026FA,0.9,Undeclared
S240,ECI 130,2026FA,0.9,Undeclared
S241,ECI 130,2026FA,0.9,Undeclared
S242,ECI 130,2026FA,0.9,Undeclared
S243,ECI 130,2026FA,0.9,Undeclared
S244,ECI 130,2026FA,0.9,Undeclared
S245,ECI 130,2026FA,0.9,Undeclared
S246,ECI 130,2026FA,0.9,Undeclared
S247,ECI 130,2026FA,0.9,Undeclared
S248,ECI 130,2026FA,0.9,Undeclared
S249,ECI 130,2026FA,0.9,Undeclared
S250,ECI 130,2026FA,0.9,Undeclared
S251,ECI 130,2026FA,0.9,Undeclared
S252,ECI 130,2026FA,0.9,Undeclared
S253,ECI 130,2026FA,0.9,Undeclared
S254,ECI 130,2026FA,0.9,Undeclared
S255,ECI 130,2026FA,0.9,Undeclared
S256,ECI 130,2026FA,0.9,Undeclared
S257,ECI 130,2026FA,0.9,Undeclared
S258,ECI 130,2026FA,0.9,Undeclared
S259,ECI 130,2026FA,0.9,Undeclared
S260,ECI 130,2026FA,0.9,Undeclared
S261,ECI 130,2026FA,0.9,Undeclared
S262,ECI 130,2026FA,0.9,Undeclared
S263,ECI 130,2026FA,0.9,Undeclared
S264,ECI 130,2026FA,0.9,Undeclared
S265,ECI 130,2026FA,0.9,Undeclared
S266,ECI 130,2026FA,0.9,Undeclared
S267,ECI 130,2026FA,0.9,Undeclared
S268,ECI 130,2026FA,0.9,Undeclared
S269,ECI 130,2026FA,0.9,Undeclared
S270,ECI 130,2026FA,0.9,Undeclared
S271,ECI 130,2026FA,0.9,Undeclared
S272,ECI 130,2026FA,0.9,Undeclared
S273,ECI 130,2026FA,0.9,Undeclared
S274,ECI 130,2026FA,0.9,Undeclared
S275,ECI 130,2026FA,0.9,Undeclared
S276,ECI 130,2026FA,0.9,Undeclared
S277,ECI 130,2026FA,0.9,Undeclared
S278,ECI 130,2026FA,0.9,Undeclared
S279,ECI 130,2026FA,0.9,Undeclared
S280,ECI 130,2026FA,0.9,Undeclared
S281,ECI 130,2026FA,0.9,Undeclared
S282,ECI 130,2026FA,0.9,Undeclared
S283,ECI 130,2026FA,0.9,Undeclared
S284,ECI 130,2026FA,0.9,Undeclared
S285,ECI 130,2026FA,0.9,Undeclared
S286,ECI 130,2026FA,0.9,Undeclared
S287,ECI 130,2026FA,0.9,Undeclared
S288,ECI 130,2026FA,0.9,Undeclared
S289,ECI 130,2026FA,0.9,Undeclared
S290,ECI 130,2026FA,0.9,Undeclared
S291,ECI 130,2026FA,0.9,Undeclared
S292,ECI 130,2026FA,0.9,Undeclared
S293,ECI 130,2026FA,0.9,Undeclared
S294,ECI 130,2026FA,0.9,Undeclared
S295,ECI 130,2026FA,0.9,Undeclared
S296,ECI 130,2026FA,0.9,Undeclared
S297,ECI 130,2026FA,0.9,Undeclared
S298,ECI 130,2026FA,0.9,Undeclared
S299,ECI 130,2026FA,0.9,Undeclared
S300,ECI 130,2026FA,0.9,Undeclared
S301,ECI 130,2026FA,0.9,Structures
S302,ECI 130,2026FA,0.9,Structures
S303,ECI 130,2026FA,0.9,Structures
S304,ECI 130,2026FA,0.9,Structures
S305,ECI 130,2026FA,0.9,Structures
S306,ECI 130,2026FA,0.9,Structures
S307,ECI 130,2026FA,0.9,Structures
S308,ECI 130,2026FA,0.9,Structures
S309,ECI 130,2026FA,0.9,Structures
S310,ECI 130,2026FA,0.9,Structures
S311,ECI 130,2026FA,0.9,Structures
S312,ECI 130,2026FA,0.9,Structures
S313,ECI 130,2026FA,0.9,Structures
S314,ECI 130,2026FA,0.9,Structures
S315,ECI 130,2026FA,0.9,Structures
S316,ECI 130,2026FA,0.9,Structures
S317,ECI 130,2026FA,0.9,Structures
S318,ECI 130,2026FA,0.9,Structures
S319,ECI 130,2026FA,0.9,Structures
S320,ECI 130,2026FA,0.9,Structures
S301,ECI 132,2026FA,0.9,Structures
S302,ECI 132,2026FA,0.9,Structures
S303,ECI 132,2026FA,0.9,Structures
S304,ECI 132,2026FA,0.9,Structures
S305,ECI 132,2026FA,0.9,Structures
S306,ECI 132,2026FA,0.9,Structures
S307,ECI 132,2026FA,0.9,Structures
S308,ECI 132,2026FA,0.9,Structures
S309,ECI 132,2026FA,0.9,Structures
S310,ECI 132,2026FA,0.9,Structures
S311,ECI 132,2026FA,0.9,Structures
S312,ECI 132,2026FA,0.9,Structures
S313,ECI 132,2026FA,0.9,Structures
S314,ECI 132,2026FA,0.9,Structures
S315,ECI 132,2026FA,0.9,Structures
S316,ECI 132,2026FA,0.9,Structures
S317,ECI 132,2026FA,0.9,Structures
S318,ECI 132,2026FA,0.9,Structures
S319,ECI 132,2026FA,0.9,Structures
S320,ECI 132,2026FA,0.9,Structures
S301,ECI 135,2026FA,0.9,Structures
S302,ECI 135,2026FA,0.9,Structures
S303,ECI 135,2026FA,0.9,Structures
S304,ECI 135,2026FA,0.9,Structures
S305,ECI 135,2026FA,0.9,Structures
S306,ECI 135,2026FA,0.9,Structures
S307,ECI 135,2026FA,0.9,Structures
S308,ECI 135,2026FA,0.9,Structures
S309,ECI 135,2026FA,0.9,Structures
S310,ECI 135,2026FA,0.9,Structures
S311,ECI 135,2026FA,0.9,Structures
S312,ECI 135,2026FA,0.9,Structures
S313,ECI 135,2026FA,0.9,Structures
S314,ECI 135,2026FA,0.9,Structures
S315,ECI 135,2026FA,0.9,Structures
S316,ECI 135,2026FA,0.9,Structures
S317,ECI 135,2026FA,0.9,Structures
S318,ECI 135,2026FA,0.9,Structures
S319,ECI 135,2026FA,0.9,Structures
S320,ECI 135,2026FA,0.9,Structures
S321,ECI 171,2026FA,0.9,Geotech
S322,ECI 171,2026FA,0.9,Geotech
S323,ECI 171,2026FA,0.9,Geotech
S324,ECI 171,2026FA,0.9,Geotech
S325,ECI 171,2026FA,0.9,Geotech
S326,ECI 171,2026FA,0.9,Geotech
S327,ECI 171,2026FA,0.9,Geotech
