student_id,year,path_type
S133,SO,Undeclared
S134,SO,Undeclared
S135,SO,Undeclared
S136,SO,Undeclared
S137,SO,Undeclared
S138,SO,Undeclared
S139,SO,Undeclared
S140,SO,Undeclared
S141,SO,Undeclared
S142,SO,Undeclared
S143,SO,Undeclared
S144,SO,Undeclared
S145,SO,Undeclared
S146,SO,Undeclared
S147,SO,Undeclared
S148,SO,Undeclared
S149,SO,Undeclared
S150,SO,Undeclared
S151,SO,Undeclared
S152,SO,Undeclared
S153,SO,Undeclared
S154,SO,Undeclared
S155,SO,Undeclared
S156,SO,Undeclared
S157,SO,Undeclared
S158,SO,Undeclared
S159,SO,Undeclared
S160,SO,Undeclared
S161,SO,Undeclared
S162,SO,Undeclared
S163,SO,Undeclared
S164,SO,Undeclared
S165,SO,Undeclared
S166,SO,Undeclared
S167,SO,Undeclared
S168,SO,Undeclared
S169,SO,Undeclared
S170,SO,Undeclared
S171,SO,Undeclared
S172,SO,Undeclared
S173,SO,Undeclared
S174,SO,Undeclared
S175,SO,Undeclared
S176,SO,Undeclared
S177,SO,Undeclared
S178,SO,Undeclared
S179,SO,Undeclared
S180,SO,Undeclared
S181,SO,Undeclared
S182,SO,Undeclared
S183,SO,Undeclared
S184,SO,Undeclared
S185,SO,Undeclared
S186,SO,Undeclared
S187,SO,Undeclared
S188,SO,Undeclared
S189,SO,Undeclared
S190,SO,Undeclared
S191,JR,Undeclared
S192,JR,Undeclared
S193,JR,Undeclared
S194,JR,Undeclared
S195,JR,Undeclared
S196,JR,Undeclared
S197,JR,Undeclared
S198,JR,Undeclared
S199,JR,Undeclared
S200,JR,Undeclared
S201,JR,Undeclared
S202,JR,Undeclared
S203,JR,Undeclared
S204,JR,Undeclared
S205,JR,Undeclared
S206,JR,Undeclared
S207,JR,Undeclared
S208,JR,Undeclared
S209,JR,Undeclared
S210,JR,Undeclared
S211,JR,Undeclared
S212,JR,Undeclared
S213,JR,Undeclared
S214,JR,Undeclared
S215,JR,Undeclared
S216,JR,Undeclared
S217,JR,Undeclared
S218,JR,Undeclared
S219,JR,Undeclared
S220,JR,Undeclared
S221,JR,Undeclared
S222,JR,Undeclared
S223,JR,Undeclared
S224,JR,Undeclared
S225,JR,Undeclared
S226,JR,Undeclared
S227,JR,Undeclared
S228,JR,Undeclared
S229,JR,Undeclared
S230,JR,Undeclared
S231,JR,Undeclared
S232,JR,Undeclared
S233,JR,Undeclared
S234,JR,Undeclared
S235,JR,Undeclared
S236,JR,Undeclared
S237,JR,Undeclared
S238,JR,Undeclared
S239,JR,Undeclared
S240,JR,Undeclared
S241,JR,Undeclared
S242,JR,Undeclared
S243,JR,Undeclared
S244,JR,Undeclared
S245,JR,Undeclared
S246,JR,Undeclared
S247,JR,Undeclared
S248,JR,Undeclared
S249,JR,Undeclared
S250,JR,Undeclared
S251,JR,Undeclared
S252,JR,Undeclared
S253,JR,Undeclared
S254,JR,Undeclared
S255,JR,Undeclared
S256,JR,Undeclared
S257,JR,Undeclared
S258,JR,Undeclared
S259,JR,Undeclared
S260,JR,Undeclared
S261,JR,Undeclared
S262,JR,Undeclared
S263,JR,Undeclared
S264,JR,Undeclared
S265,JR,Undeclared
S266,JR,Undeclared
S267,JR,Undeclared
S268,JR,Undeclared
S269,JR,Undeclared
S270,JR,Undeclared
S271,JR,Undeclared
S272,JR,Undeclared
S273,JR,Undeclared
S274,JR,Undeclared
S275,JR,Undeclared
S276,JR,Undeclared
S277,JR,Undeclared
S278,JR,Undeclared
S279,JR,Undeclared
S280,JR,Undeclared
S281,JR,Undeclared
S282,JR,Undeclared
S283,JR,Undeclared
S284,JR,Undeclared
S285,JR,Undeclared
S286,JR,Undeclared
S287,JR,Undeclared
S288,JR,Undeclared
S289,JR,Undeclared
S290,JR,Undeclared
S291,JR,Undeclared
S292,JR,Undeclared
S293,JR,Undeclared
S294,JR,Undeclared
S295,JR,Undeclared
S296,JR,Undeclared
S297,JR,Undeclared
S298,JR,Undeclared
S299,JR,Undeclared
S300,JR,Undeclared
S301,SR,Structures
S302,SR,Structures
S303,SR,Structures
S304,SR,Structures
S305,SR,Structures
S306,SR,Structures
S307,SR,Structures
S308,SR,Structures
S309,SR,Structures
S310,SR,Structures
S311,SR,Structures
S312,SR,Structures
S313,SR,Structures
S314,SR,Structures
S315,SR,Structures
S316,SR,Structures
S317,SR,Structures
S318,SR,Structures
S319,SR,Structures
S320,SR,Structures
S321,SR,Geotech
S322,SR,Geotech
S323,SR,Geotech
S324,SR,Geotech
S325,SR,Geotech
S326,SR,Geotech
S327,SR,Geotech
S328,SR,Geotech
S329,SR,Geotech
S330,SR,Geotech
S331,SR,Geotech
S332,SR,Geotech
S333,SR,Geotech
S334,SR,Geotech
S335,SR,Geotech
S336,SR,Geotech
S337,SR,Geotech
S338,SR,Geotech
S339,SR,Geotech
S340,SR,Geotech
S341,SR,Transportation
S342,SR,Transportation
S343,SR,Transportation
S344,SR,Transportation
S345,SR,Transportation
S346,SR,Transportation
S347,SR,Transportation
S348,SR,Transportation
S349,SR,Transportation
S350,SR,Transportation
S351,SR,Transportation
S352,SR,Transportation
S353,SR,Transportation
S354,SR,Transportation
S355,SR,Transportation
S356,SR,Transportation
S357,SR,Transportation
S358,SR,Transportation
S359,SR,Transportation
S360,SR,Transportation
S361,SR,Construction
S362,SR,Construction
S363,SR,Construction
S364,SR,Construction
S365,SR,Construction
S366,SR,Construction
S367,SR,Construction
S368,SR,Construction
S369,SR,Construction
S370,SR,Construction
S371,SR,Construction
S372,SR,Construction
S373,SR,Construction
S374,SR,Construction
S375,SR,Construction
S376,SR,Construction
S377,SR,Construction
S378,SR,Construction
S379,SR,Construction
S380,SR,Construction
S381,SR,EnvironmentalDepth
S382,SR,EnvironmentalDepth
S383,SR,EnvironmentalDepth
S384,SR,EnvironmentalDepth
S385,SR,EnvironmentalDepth
S386,SR,EnvironmentalDepth
S387,SR,EnvironmentalDepth
S388,SR,EnvironmentalDepth
S389,SR,EnvironmentalDepth
S390,SR,EnvironmentalDepth
S391,SR,EnvironmentalDepth
S392,SR,EnvironmentalDepth
S393,SR,EnvironmentalDepth
S394,SR,EnvironmentalDepth
S395,SR,EnvironmentalDepth
S396,SR,EnvironmentalDepth
S397,SR,EnvironmentalDepth
S398,SR,EnvironmentalDepth
S399,SR,EnvironmentalDepth
S400,SR,EnvironmentalDepth
